CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
3662,SUNBEAM CORP/FL/,199803,06-03-98,10-K405,edgar/data/3662/0000950170-98-000413.txt,825,2417,-0.491054904,23.54582723,0.354674228,9.560200584,28519,80409,323,1239,0.010260046,0.030058824,0.004016963,0.015408723,1239
3662,SUNBEAM CORP/FL/,199805,15-05-98,10-Q,edgar/data/3662/0000950170-98-001001.txt,430,1219,-0.478471801,27.18305439,0.341843999,11.00995936,17767,51974,215,856,0.008273367,0.023454035,0.004136684,0.016469773,856
3662,SUNBEAM CORP/FL/,199808,13-08-98,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,0,8,-0.999999875,27.4375,0.291571754,11.0916287,128,439,5,4,0,0.018223235,0.011389522,0.009111617,4
3662,SUNBEAM CORP/FL/,199811,12-11-98,10-K/A,edgar/data/3662/0000950170-98-002145.txt,285,1124,-0.595457771,20.33033932,0.348853763,8.271677234,14213,40742,219,585,0.006995238,0.027588238,0.005375288,0.014358647,585
3662,SUNBEAM CORP/FL/,199811,16-11-98,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,0,8,-0.999999875,24.45454545,0.284386617,9.895572829,153,538,6,4,0,0.014869888,0.011152416,0.007434944,4
3662,SUNBEAM CORP/FL/,199811,25-11-98,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,34,306,-0.799999998,20.40463918,0.341669824,8.2985236,2705,7917,113,66,0.004294556,0.038651004,0.014273083,0.008336491,66
3662,SUNBEAM CORP/FL/,199812,22-12-98,10-Q,edgar/data/3662/0000950170-98-002401.txt,99,467,-0.650176677,21.9368932,0.342111087,8.911601716,4638,13557,145,226,0.007302501,0.034447149,0.010695582,0.016670355,226
3662,SUNBEAM CORP/FL/,199812,22-12-98,10-Q,edgar/data/3662/0000950170-98-002402.txt,50,277,-0.6941896,20.10817308,0.342259414,8.180172996,2863,8365,140,81,0.005977286,0.033114166,0.016736402,0.009683204,81
3662,SUNBEAM CORP/FL/,199903,31-03-99,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,0,6,-0.999999833,25.85,0.241779497,10.4367118,125,517,4,3,0,0.011605416,0.007736944,0.005802708,3
3662,SUNBEAM CORP/FL/,199905,11-05-99,10-K,edgar/data/3662/0000950170-99-000775.txt,325,1303,-0.6007371,19.83398629,0.357275129,8.076504567,14470,40501,363,388,0.008024493,0.032172045,0.008962742,0.00958001,388
3662,SUNBEAM CORP/FL/,199905,17-05-99,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,0,4,-0.99999975,26.89473684,0.244618395,10.85574209,125,511,3,3,0,0.007827789,0.005870841,0.005870841,3
3662,SUNBEAM CORP/FL/,199906,11-06-99,10-Q,edgar/data/3662/0000950170-99-001005.txt,54,288,-0.684210524,20.18863049,0.342762063,8.212557022,2678,7813,130,65,0.006911558,0.036861641,0.016638935,0.008319468,65
3662,SUNBEAM CORP/FL/,199908,16-08-99,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,0,5,-0.9999998,26.33333333,0.223628692,10.62278481,106,474,3,3,0,0.010548523,0.006329114,0.006329114,3
3662,SUNBEAM CORP/FL/,199908,19-08-99,10-Q,edgar/data/3662/0000950170-99-001361.txt,99,427,-0.623574143,19.30970724,0.333865305,7.857429019,4184,12532,186,125,0.007899777,0.034072774,0.014842004,0.009974465,125
3662,SUNBEAM CORP/FL/,199911,08-11-99,10-K/A,edgar/data/3662/0000889812-99-003241.txt,207,1057,-0.672468354,20.02973497,0.349060866,8.151518335,10816,30986,428,262,0.006680436,0.03411218,0.01381269,0.008455431,262
3662,SUNBEAM CORP/FL/,199911,08-11-99,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,105,516,-0.661835748,19.01274788,0.333457498,7.738482149,4476,13423,211,139,0.007822394,0.038441481,0.015719288,0.01035536,139
3662,SUNBEAM CORP/FL/,199911,08-11-99,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,79,503,-0.728522336,19.97203947,0.341266573,8.125322419,4144,12143,196,125,0.006505806,0.041423042,0.016140987,0.010293997,125
3662,SUNBEAM CORP/FL/,199911,15-11-99,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,1,3,-0.499999875,27.9375,0.239373602,11.27074944,107,447,2,3,0.002237136,0.006711409,0.004474273,0.006711409,3
3662,SUNBEAM CORP/FL/,199911,19-11-99,10-Q,edgar/data/3662/0000950170-99-001856.txt,111,678,-0.718631178,18.85617214,0.35027027,7.682576964,5832,16650,268,154,0.006666667,0.040720721,0.016096096,0.009249249,154
3982,ALLIS CHALMERS ENERGY INC.,200603,22-03-06,10-K,edgar/data/3982/0000950129-06-002926.txt,284,1098,-0.589001447,21.43680839,0.346673187,8.71339263,12760,36807,277,462,0.007715924,0.029831282,0.007525742,0.01255196,462
3982,ALLIS CHALMERS ENERGY INC.,200605,01-05-06,10-K/A,edgar/data/3982/0000950129-06-004690.txt,26,37,-0.174603172,25.12755102,0.310253807,10.17512193,1528,4925,9,13,0.005279188,0.00751269,0.001827411,0.002639594,13
3982,ALLIS CHALMERS ENERGY INC.,200605,10-05-06,10-Q,edgar/data/3982/0000950129-06-005244.txt,164,889,-0.688509021,25.20718232,0.355031963,10.22488571,9719,27375,143,564,0.005990868,0.032474886,0.005223744,0.02060274,564
3982,ALLIS CHALMERS ENERGY INC.,200607,24-07-06,10-K/A,edgar/data/3982/0000950129-06-007243.txt,50,178,-0.561403506,20.66666667,0.319815668,8.394592934,3470,10850,104,70,0.004608295,0.01640553,0.009585253,0.006451613,70
3982,ALLIS CHALMERS ENERGY INC.,200607,24-07-06,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,24,102,-0.619047614,21.48048048,0.330910108,8.724556235,2367,7153,63,57,0.003355236,0.014259751,0.008807493,0.007968684,57
3982,ALLIS CHALMERS ENERGY INC.,200608,14-08-06,10-Q,edgar/data/3982/0000950129-06-007871.txt,49,85,-0.268656714,21.3539604,0.332444651,8.674562019,2868,8627,102,57,0.005679842,0.009852788,0.011823345,0.006607164,57
3982,ALLIS CHALMERS ENERGY INC.,200611,08-11-06,10-Q,edgar/data/3982/0000950129-06-009522.txt,82,196,-0.410071941,21.45112782,0.34893095,8.720023508,3982,11412,156,96,0.007185419,0.017174904,0.013669821,0.008412198,96
3982,ALLIS CHALMERS ENERGY INC.,200612,29-12-06,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,168,632,-0.579999999,18.92292359,0.328592998,7.700606635,9358,28479,98,334,0.005899084,0.02219179,0.003441132,0.01172794,334
3982,ALLIS CHALMERS ENERGY INC.,200703,15-03-07,10-K,edgar/data/3982/0000950129-07-001381.txt,235,647,-0.467120181,20.04202802,0.332922811,8.149980332,10002,30043,338,249,0.007822122,0.021535799,0.011250541,0.00828812,249
3982,ALLIS CHALMERS ENERGY INC.,200705,10-05-07,10-Q,edgar/data/3982/0000950129-07-002432.txt,333,1385,-0.61233993,31.63648469,0.371290879,12.80311023,17643,47518,181,1111,0.007007871,0.02914685,0.003809083,0.023380614,1111
